subject,task_name,trial_raw,trial_num,stimulus,codeable,person_attribution,situation_attribution,note
SS1608910542319,CA,因为凯丽怕骑自行车，她是那种会怕怕的人。,1,Kelly,1,2,0,
SS1608910542319,CA,璐茜可能是因为这辆自行车骑起来很危险，因为她不怕跳进水里，表明她可能不是那种会怕怕的人。,2,Lucy,1,0,1,?
SS1608915923505,CA,凯丽不骑自行车是因为她是那种会怕怕的人。,1,Kelly,1,1,0,
SS1608915923505,CA,璐茜不骑自行车是因为她是那种会怕怕的人。,2,Lucy,1,1,0,
SS1608919052817,CA,凯丽没有骑自行车，是因为她是那种会怕怕的人。,1,Kelly,1,1,0,
SS1608919052817,CA,璐茜没有骑自行车，因为她是那种会怕怕的人。,2,Lucy,1,1,0,
SS1608922359968,CA,这辆自行车没有刹车装置，骑起来不安全，所以凯丽没有骑自行车，不是因为她怕,1,Kelly,1,0,1,
SS1608922359968,CA,这辆自行车没有刹车装置，路西是怕骑车有危险，不是怕,2,Lucy,1,0,1,
SS1608939499047,CA,凯丽不怕往水里跳，却怕骑自行车，应该是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1608939499047,CA,璐茜敢往水里跳，说明很勇敢却不敢骑自行车，因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1608943874386,CA,这辆自信车骑起来会很危险。向水池中跳很明显比骑自行车要危险许多，因此kelly本身不应该害怕骑车,1,Kelly,1,1,1,
SS1608943874386,CA,lucy不骑自行车是因为自行车骑起来很危险。理由与kelly相同。向水池中跳很明显要更危险,2,Lucy,1,0,1,
SS1608945641685,CA,因为她是那种会怕怕的人，她怕骑上之后摔下来,1,Kelly,1,1,0,
SS1608945641685,CA,她是那种会怕怕的人，她怕骑上之后会摔下来,2,Lucy,1,1,0,
SS1608948095292,CA,因为凯丽觉得这辆自行车骑起来很危险，凯丽不是那种会怕怕的人。,1,Kelly,1,0,1,
SS1608948095292,CA,璐茜不是会怕怕的人，因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1608949381789,CA,凯丽不骑自行车是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1608949381789,CA,璐茜不骑自行车是因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1608954326224,CA,她并不是一个胆小的人，所以很可能是因为她害怕骑自行车有危险。,1,Kelly,1,1,0,
SS1608954326224,CA,她也不是一个胆小的人，因此很有可能也是因为骑自行车有危险。,2,Lucy,1,1,0,
SS1608954731700,CA,因为这辆自行车骑起来很危险，而不是因为她是那种会怕怕的人，因为她不怕跳进水里。,1,Kelly,1,0,1,
SS1608954731700,CA,因为这辆自行车骑起来很危险，而不是因为她是那种会怕怕的人。,2,Lucy,1,0,1,
SS1608970887825,CA,我觉得可能是因为这辆自行车骑起来很危险，她不敢骑自行车，因为她之前不怕游泳，所以她可能不是那种会怕怕的人。,1,Kelly,1,0,1,
SS1608970887825,CA,我觉得是因为这辆自行车骑起来很危险，因为璐茜之前敢下水游泳，可能她不是那种会怕怕的人。,2,Lucy,1,0,1,
SS1608972269897,CA,"凯丽没有骑自行车，因为她怕了。
凯丽没有骑自行车，因为她是那种会怕怕的人。",1,Kelly,1,1,0,
SS1608972269897,CA,璐西没有骑自行车，因为她是那种会怕怕的人。,2,Lucy,1,1,0,
SS1608977429765,CA,凯丽没有骑自行车，因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1608977429765,CA,Lucy没有骑自行车，因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1608996310483,CA,我觉得是因为自行车危险，因为自行车没有铃铛和刹车。,1,Kelly,1,0,1,
SS1608996310483,CA,我觉得是因为自行车危险，自行车没有铃铛和刹车。,2,Lucy,1,0,1,
SS1608996688173,CA,因为露西也没有骑这辆自行车，这辆自行车骑起来很危险,1,Kelly,1,0,2,
SS1608996688173,CA,璐茜不骑自行车的原因是这辆自行车骑起来很危险,2,Lucy,1,0,1,
SS1608997032951,CA,"凯丽不骑自行车是因为这辆自行车骑起来很危险。
",1,Kelly,1,0,1,
SS1608997032951,CA,她不骑自行车也是因为这两自行车骑起来很危险,2,Lucy,1,0,1,
SS1608997112698,CA,因为她不会骑自行车，我也不知道她会不会骑自行车，也许吧。她会游泳却不会骑自行车。,1,Kelly,1,1,0,
SS1608997112698,CA,是因为她是那种会怕怕的人，她好怕会摔倒。,2,Lucy,1,1,0,
SS1608997232238,CA,凯丽因为这辆自行车骑起来危险所以怕了，没有骑自行车,1,Kelly,1,0,1,
SS1608997232238,CA,路西因为这辆自行车骑起来很危险所以没有骑自行车,2,Lucy,1,0,1,
SS1608997522324,CA,凯丽没有骑自行车，因为她是那种会怕怕的人,1,Kelly,1,1,0,
SS1608997522324,CA,璐茜没有骑自行车，因为她是那种会怕怕的人,2,Lucy,1,1,0,
SS1608997707068,CA,因为凯丽认为这一辆自行车骑起来非常危险，所以她没有骑自行车。,1,Kelly,1,1,0,
SS1608997707068,CA,璐茜认为这辆自行车骑起来很危险，所以她没有骑自行车。,2,Lucy,1,1,0,
SS1608997774748,CA,因为凯丽她怕怕呢，她觉得骑车可能会摔下来，自己会受伤。,1,Kelly,1,1,0,
SS1608997774748,CA,路西她不会害怕呢，她只是觉得摔下来可能会撞到别人。,2,Lucy,1,1,1,
SS1608997826306,CA,因为凯丽不会骑自行车，所以自行车骑起来会很危险,1,Kelly,1,1,0,
SS1608997826306,CA,因为凯丽穿的衣服不方便，所以她没有骑自行车,2,Lucy,1,0,1,
SS1608998177863,CA,因为这辆自行车骑起来很危险，她害怕骑自行车会让她受伤。,1,Kelly,1,1,1,
